,ID_nome_comum,fk_nome_cientifico
495,277,Bothrops muriciensis
496,278,Tropidophis grapiuna
497,279,Crenicichla empheres
498,279,Crenicichla hadrostigma
499,280,Crenicichla jupiaensis
500,281,Myrmecophaga tridactyla
501,282,Anablepsoides cearensis
502,282,Hypsolebias gilbertobrasili
503,283,Melanophryniscus klappenbachi
504,284,Cryptops iporangensis
505,284,Cryptops spelaeoraptor
506,284,Scolopendropsis duplicata
507,285,Bryconamericus lambari
508,285,Diapoma pyrrhopteryx
509,285,Spintherobolus leptoura
510,285,Hasemania crenuchoides
511,285,Hasemania maxillaris
512,285,Hasemania melanura
513,285,Hyphessobrycon duragenys
514,285,Hyphessobrycon taurocephalus
515,285,Spintherobolus papilliferus
516,285,Astyanax eremus
517,285,Rachoviscus graciliceps
518,285,Spintherobolus ankoseion
519,286,Mimagoniates lateralis
520,287,Rachoviscus crassiceps
521,288,Hollandichthys taramandahy
522,289,Ginglymostoma cirratum
523,290,Leptagrion bocainense
524,291,Asthenes luizae
525,292,Phyllocaulis renschi
526,293,Aceratobasis cornicauda
527,293,Aceratobasis mourei
528,293,Castoraeschna januaria
529,293,Rhionaeschna eduardoi
530,293,Phyllocycla bartica
531,293,Elasmothemis schubarti
532,293,Macrothemis tessellata
533,293,Micrathyria borgmeieri
534,293,Micrathyria divergens
535,293,Fluminagrion taxaense
536,293,Homeoura lindneri
537,293,Leptagrion bocainense
538,293,Heteragrion petiense
539,294,Leptagrion bocainense
540,295,Syndactyla ucayalae
541,296,Scleromystax macropterus
542,297,Chrysocyon brachyurus
543,298,Chrysocyon brachyurus
544,299,Chrysocyon brachyurus
545,300,Chrysocyon brachyurus
546,301,Chrysocyon brachyurus
547,302,Chrysocyon brachyurus
548,303,Phyllomys lundi
549,304,Thoropa lutzi
550,305,Sapajus flavius
551,305,Sapajus robustus
552,306,Sapajus xanthosternos
553,307,Ateles chamek
554,307,Ateles belzebuth
555,307,Ateles marginatus
556,308,Ateles chamek
557,309,Saimiri vanzolinii
558,310,Sapajus cay
559,310,Sapajus flavius
560,311,Sapajus robustus
561,312,Sapajus xanthosternos
562,313,Sapajus flavius
563,314,Sapajus robustus
564,315,Mico rondoni
565,316,Carcharhinus obscurus
566,316,Carcharhinus signatus
567,317,Trichechus manatus
568,318,Rhamdia jequitinhonha
569,319,Pontoporia blainvillei
570,320,Mycteroperca interstitialis
571,321,Leopardus tigrinus
572,322,Leopardus wiedii
573,323,Parides burchellanus
574,324,Onychorhynchus swainsoni
575,325,Dirphia monticola
576,325,Nyceryx mielkei
577,325,Parapoynx restingalis
578,326,Nyceryx mielkei
579,327,Brachyteles arachnoides
580,328,Mycetopoda legumen
581,329,Mycetopoda legumen
582,330,Limnodromus griseus
583,331,Numenius hudsonicus
584,332,Epinephelus itajara
585,333,Hyporthodus niveatus
586,334,Epinephelus itajara
587,335,Hylodes mertensi
588,336,Mico rondoni
589,337,Leontopithecus chrysomelas
590,338,Leontopithecus chrysomelas
591,339,Leontopithecus caissara
592,340,Leontopithecus rosalia
593,341,Leontopithecus chrysopygus
594,342,Sapajus robustus
595,343,Fimoscolex sporadochaetus
596,344,Fimoscolex sporadochaetus
597,345,Fimoscolex sporadochaetus
598,346,Kerodon rupestris
599,346,Kerodon acrobata
600,347,Cavia intermedia
601,348,Brachyteles arachnoides
602,349,Brachyteles arachnoides
603,350,Melanophryniscus montevidensis
604,351,Trinomys moojeni
605,352,Lonchophylla dekeyseri
606,353,Leopardus tigrinus
607,354,Brachyteles arachnoides
608,355,Brachyteles arachnoides
609,356,Brachyteles arachnoides
610,357,Crax blumenbachii
611,358,Pauxi mitu
612,359,Crax blumenbachii
613,360,Rodriguesophis scriptorcibatus
614,361,Rhegmatorhina gymnops
615,362,Nyctibius aethereus aethereus
616,363,Phlegopsis nigromaculata paraensis
617,363,Phlegopsis nigromaculata confinis
618,364,Melanophryniscus klappenbachi
619,365,Lophiosilurus alexandri
620,366,Epiperipatus ohausi
621,366,Epiperipatus paurognostus
622,366,Epiperipatus adenocryptus
623,366,Epiperipatus diadenoproctus
624,367,Panthera onca
625,368,Panthera onca
626,369,Discocyrtus pedrosoi
627,370,Phyllomys brasiliensis
628,371,Ceratophrys ornata
629,372,Coendou speratus
630,373,Chaetomys subspinosus
631,374,Lophiosilurus alexandri
632,375,Mylesinus paucisquamatus
633,376,Myloplus tiete
634,377,Nyctimantis pomba
635,378,Sphyrna mokarran
636,379,Myrmecophaga tridactyla
637,380,Pyriglena atra
638,381,Amazona vinacea
639,382,Philodryas livida
640,383,Lutjanus purpureus
641,383,Lutjanus purpureus
642,384,Lutjanus purpureus
643,385,Lutjanus purpureus
644,386,Hippocampus patagonicus
645,387,Sporophila beltoni
646,388,Platyrinchus leucoryphus
647,389,Sphyrna tudes
648,390,Maratecoara formosa
649,390,Hypsolebias flammeus
650,390,Kryptolebias campelloi
651,390,Maratecoara splendida
652,390,Melanorivulus crixas
653,390,Melanorivulus karaja
654,390,Melanorivulus kayapo
655,390,Melanorivulus kunzei
656,390,Melanorivulus rubromarginatus
657,390,Melanorivulus salmonicaudus
658,390,Melanorivulus ubirajarai
659,390,Pituna xinguensis
660,390,Plesiolebias canabravensis
661,390,Spectrolebias reticulatus
662,390,Trigonectes strigabundus
663,390,Cynolebias leptocephalus
664,390,Hypsolebias gilbertobrasili
665,390,Moema piriana
666,390,Hypsolebias tocantinensis
667,390,Simpsonichthys cholopteryx
668,391,Hypsolebias flammeus
669,391,Hypsolebias multiradiatus
670,391,Cynolebias griseus
671,391,Hypsolebias notatus
672,391,Ophthalmolebias constanciae
673,391,Hypsolebias marginatus
674,392,Cynolebias parnaibensis
675,393,Anablepsoides cearensis
676,393,Atlantirivulus nudiventris
677,393,Austrolebias univentripinnis
678,393,Cynopoecilus intimus
679,393,Melanorivulus illuminatus
680,393,Melanorivulus scalaris
681,393,Nematolebias whitei
682,393,Plesiolebias xavantei
683,393,Atlantirivulus lazzarotoi
684,393,Atlantirivulus simplicis
685,393,Austrolebias adloffi
686,393,Austrolebias alexandri
687,393,Austrolebias arachan
688,393,Austrolebias carvalhoi
689,393,Austrolebias cheradophilus
690,393,Austrolebias cyaneus
691,393,Austrolebias ibicuiensis
692,393,Austrolebias jaegari
693,393,Austrolebias litzi
694,393,Austrolebias nachtigalli
695,393,Austrolebias nigrofasciatus
696,393,Austrolebias paucisquama
697,393,Austrolebias varzeae
698,393,Campellolebias brucei
699,393,Campellolebias chrysolineatus
700,393,Campellolebias dorsimaculatus
701,393,Campellolebias intermedius
702,393,Hypsolebias adornatus
703,393,Hypsolebias alternatus
704,393,Hypsolebias auratus
705,393,Hypsolebias brunoi
706,393,Hypsolebias carlettoi
707,393,Hypsolebias delucai
708,393,Hypsolebias fasciatus
709,393,Hypsolebias flavicaudatus
710,393,Hypsolebias fulminantis
711,393,Hypsolebias ghisolfii
712,393,Hypsolebias gibberatus
713,393,Hypsolebias guanambi
714,393,Hypsolebias harmonicus
715,393,Hypsolebias hellneri
716,393,Hypsolebias igneus
717,393,Hypsolebias janaubensis
718,393,Hypsolebias longignatus
719,393,Hypsolebias lopesi
720,393,Hypsolebias macaubensis
721,393,Hypsolebias magnificus
722,393,Hypsolebias mediopapillatus
723,393,Hypsolebias nielseni
724,393,Hypsolebias picturatus
725,393,Hypsolebias rufus
726,393,Hypsolebias stellatus
727,393,Hypsolebias trilineatus
728,393,Hypsolebias virgulatus
729,393,Kryptolebias brasiliensis
730,393,Kryptolebias gracilis
731,393,Leptopanchax citrinipinnis
732,393,Leptopanchax itanhaensis
733,393,Leptolebias marmoratus
734,393,Leptopanchax opalescens
