,fk_id_categoria,nome_cientifico,ano
431,3.0,Ophthalmolebias suzarti,2021
432,3.0,Pituna brevirostrata,2014
433,5.0,Pituna brevirostrata,2021
434,3.0,Simpsonichthys boitonei,2014
435,5.0,Simpsonichthys boitonei,2021
436,3.0,Simpsonichthys nigromaculatus,2014
437,3.0,Simpsonichthys nigromaculatus,2021
438,3.0,Simpsonichthys parallelus,2014
439,4.0,Simpsonichthys parallelus,2021
440,3.0,Simpsonichthys punctulatus,2014
441,5.0,Simpsonichthys punctulatus,2021
442,5.0,Simpsonichthys santanae,2014
443,4.0,Simpsonichthys santanae,2021
444,5.0,Simpsonichthys zonatus,2014
445,7.0,Simpsonichthys zonatus,2021
446,4.0,Xenurolebias myersi,2014
447,4.0,Xenurolebias myersi,2021
448,,Austrolebias camaquensis,2014
449,4.0,Austrolebias camaquensis,2021
450,,Austrolebias pelotapes,2014
451,5.0,Austrolebias pelotapes,2021
452,,Austrolebias pongondo,2014
453,4.0,Austrolebias pongondo,2021
454,,Cynolebias elegans,2014
455,5.0,Cynolebias elegans,2021
456,,Cynolebias gorutuba,2014
457,4.0,Cynolebias gorutuba,2021
458,,Cynopoecilus feltrini,2014
459,3.0,Cynopoecilus feltrini,2021
460,,Hypsolebias faouri,2014
461,3.0,Hypsolebias faouri,2021
462,,Simpsonichthys espinhacensis,2014
463,4.0,Simpsonichthys espinhacensis,2021
464,5.0,Moema piriana,2014
465,7.0,Moema piriana,2021
466,5.0,Hypsolebias marginatus,2014
467,7.0,Hypsolebias marginatus,2021
468,5.0,Hypsolebias tocantinensis,2014
469,5.0,Hypsolebias tocantinensis,2021
470,4.0,Simpsonichthys cholopteryx,2014
471,4.0,Simpsonichthys cholopteryx,2021
472,,Austrolebias araucarianus,2014
473,3.0,Austrolebias araucarianus,2021
474,,Austrolebias bagual,2014
475,5.0,Austrolebias bagual,2021
476,,Cynolebias akroa,2014
477,3.0,Cynolebias akroa,2021
478,,Hypsolebias gardneri,2014
479,4.0,Hypsolebias gardneri,2021
480,,Hypsolebias hamadryades,2014
481,5.0,Hypsolebias hamadryades,2021
482,,Hypsolebias shibattai,2014
483,3.0,Hypsolebias shibattai,2021
484,,Hypsolebias splendissimus,2014
485,3.0,Hypsolebias splendissimus,2021
486,,Austrolebias ephemerus,2014
487,4.0,Austrolebias ephemerus,2021
488,,Austrolebias quirogai,2014
489,5.0,Austrolebias quirogai,2021
490,5.0,Austrolebias cinereus,2014
491,5.0,Austrolebias cinereus,2021
492,5.0,Mergus octosetaceus,2014
493,5.0,Mergus octosetaceus,2021
494,3.0,Arhysosage cactorum,2014
495,3.0,Arhysosage cactorum,2021
496,4.0,Melipona rufiventris,2014
497,4.0,Melipona rufiventris,2021
498,4.0,Melipona scutellaris,2014
499,4.0,Melipona scutellaris,2021
500,4.0,Melipona capixaba,2014
501,4.0,Melipona capixaba,2021
502,4.0,Partamona littoralis,2014
503,4.0,Partamona littoralis,2021
504,4.0,Dinoponera lucida,2014
505,4.0,Dinoponera lucida,2021
506,4.0,Gnamptogenys wilsoni,2014
507,4.0,Gnamptogenys wilsoni,2021
508,3.0,Mycetophylax simplex,2014
509,3.0,Mycetophylax simplex,2021
510,3.0,Mycetomoellerius atlanticus,2014
511,3.0,Mycetomoellerius atlanticus,2021
512,3.0,Atta robusta,2014
513,3.0,Atta robusta,2021
