,ID_nome_comum,Nome_comum
701,701,asa branca (Bahia)
702,702,asa-de-sabre-da-mata-seca
703,703,atobá-de-pé-vermelho
704,704,azulona
705,705,azulão
706,706,aí-pixuna
707,707,bacacu-preto
708,708,bacurau-de-rabo-branco
709,709,bacurau-do-são-francisco
710,710,badejo
711,711,badejo-amarelo
712,712,badejo-quadrado
713,713,balança-rabo-canela
714,714,bandeira
715,715,barranqueiro-de-topete
716,716,barranqueiro-do-nordeste
717,717,batata
718,718,batuíra-bicuda
719,719,beija-flor-de-costas-violeta
720,720,beija-flor-de-costas-violetas
721,721,beija-flor-de-gravata-vermelha
722,722,beija-flor-marrom
723,723,besouro
724,724,besouro d'água
725,725,besouro-mergulhador
726,726,besouro-rola-bosta
727,727,besouro-tesoura
728,728,bico verde
729,729,bico-doce
730,730,bico-virado-miúdo
731,731,bicudinho-do-brejo
732,732,bicudinho-do-brejo-paulista
733,733,bicudo
734,734,boca-de-velha
735,735,bodete
736,736,bodinho
737,737,bola
738,738,bolinha
739,739,borboleta-azul
740,740,borboleta-da-restinga
741,741,borboleta-ribeirinha
742,742,borboletinha-baiana
743,743,boto-cor-de rosa
744,744,boto-vermelho
745,745,braquiópode
746,746,briba
747,747,budião-banana
748,748,buriqui
749,749,buriquim
750,750,cabeça-chata-do-sul
751,751,cabeça-de-prata
752,752,caboclinho-de-barriga-preta
753,753,caboclinho-de-barriga-vermelha
754,754,caboclinho-de-papo-branco
755,755,caboclinho-de-papo-escuro
756,756,caboclinho-do-sertão
757,757,caburé-de-pernambuco
758,758,cachorro-do-mato-de-orelhas-curtas
759,759,cachorro-do-mato-vinagre
760,760,cachorro-vinagre
761,761,caiarara ka'apor
762,762,cajubi
763,763,cajubim
764,764,calango
765,765,calango-liso-da-restinga
766,766,calango-que-vira-cobra
767,767,calanguinho
768,768,cambeva
769,769,cambevota
770,770,camburupu
771,771,caminheiro-grande
772,772,camurupim
773,773,cancão-da-campina
774,774,cangurupi
775,775,canguçu
776,776,cangôa
777,777,cantador-amarelo
778,778,cantador-estriado
779,779,cantador-ocráceo
780,780,canário-do-mar
781,781,capelão
782,782,capitão-de-cinta
783,783,capitão-de-saíra-amarelo
784,784,cara-dourada
785,785,cara-pintada
786,786,cardeal-amarelo
787,787,cari
788,788,carocha
789,789,cascudo
790,790,cavalinho
791,791,cavalinho-do-mar
792,792,cavalinho-marinho
793,793,cavalo-marinho
794,794,cavalo-marinho patagônico
795,795,cavalo-marinho-de-focinho-longo
796,796,caçoa
797,797,cação-anjo-de-asa-curta
798,798,cação-anjo-de-asa-longa
799,799,cação-anjo-espinhoso
800,800,cação-anjo-espinhudo
801,801,cação-baía
802,802,cação-bruxa
803,803,cação-coralino
804,804,cação-da-areia
805,805,cação-estrela
806,806,cação-fidalgo
807,807,cação-limão
808,808,cação-listrado
809,809,cação-lixa
810,810,cação-malhado
811,811,cação-mangona
812,812,cação-martelo
813,813,cação-noturno
814,814,cação-pato
815,815,cação-quati
816,816,cação-viola
817,817,chauá
818,818,cherne-negro
819,819,cherne-negro.
820,820,cherne-poveiro
821,821,cherne-verdadeiro
822,822,chibante
823,823,choca-da-mata
824,824,choca-da-mata-cearense
825,825,choca-de-garganta-preta
826,826,choca-lisa
827,827,choca-preta-e-cinza
828,828,choquinha-chumbo
829,829,choquinha-de-alagoas
830,830,choquinha-de-rabo-cintado
831,831,choquinha-do-bambu
832,832,choquinha-do-rio-roosevelt
833,833,choquinha-fluminense
834,834,choquinha-pequena
835,835,chora-chuva-de-cara-branca
836,836,chupa-dente
837,837,chupa-dente-do-nordeste
